nid,title,field_major,field_minor,field_serial_number,field_uid,field_zone
89121,"Cossette #1",52644,4009,0117C59B6384,23A01AF0-232A-4518-9C0E-323FB773F5EF,"Arriving at YQB"
89122,"Cossette #2",40961,14366,0117C59BE615,23A01AF0-232A-4518-9C0E-323FB773F5EF,Check-in
89630,"Arrivée - Entrée (stationnement)",43537,14825,0117C59BE371,23A01AF0-232A-4518-9C0E-323FB773F5EF,"Arriving at YQB"
89631,"Arrivée - Entrée (principale)",43537,34035,0117C59B2E7A,23A01AF0-232A-4518-9C0E-323FB773F5EF,"Arriving at YQB"
89632,"Arrivée - Niveau 2",43537,40398,0117C59B19CC,23A01AF0-232A-4518-9C0E-323FB773F5EF,"Arriving at YQB"
89633,"Enregistrement - Porte principale",47906,38077,0117C59B048C,23A01AF0-232A-4518-9C0E-323FB773F5EF,Check-in
89634,"Enregistrement - Vers parking",47906,19845,0117C59BDBE0,23A01AF0-232A-4518-9C0E-323FB773F5EF,Check-in
89635,"Inspection - Gauche",52275,34418,0117C59B31D6,23A01AF0-232A-4518-9C0E-323FB773F5EF,Inspection
89636,"Inspection - Droite",52275,4580,0117C59B7F6C,23A01AF0-232A-4518-9C0E-323FB773F5EF,Inspection
89637,"Attente - Beacon 1",56644,41556,0117C59B77FC,23A01AF0-232A-4518-9C0E-323FB773F5EF,"Waiting area"
89638,"Retour - Domestique",61013,17514,0117C59BAA94,23A01AF0-232A-4518-9C0E-323FB773F5EF,"Returning to YQB"
89639,"Retour - International",61013,54400,0117C59B6A36,23A01AF0-232A-4518-9C0E-323FB773F5EF,"Returning to YQB"